"Edad","esc_bajo","esc_medio","esc_alto","NA","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
79,17968,9838,3010,3908,46,756,402,0.0420747996438112,0.0408619638137833,0.0152823920265781,0.0390706126687435,30816,1204,0.0976765316718588,0.3192497403946,0.583073727933541,0.0431039412419529,0.0431882473488708,0.0434319193171206,0.0412896060659268,0.0409720164510434,0.0411357599091417,0.0160716909492217,0.0157300157802155,0.0158005765186658,0.039916960005082,0.0398295570663005,0.0400408441505481
80,17243,9171,2783,3955,47,840,408,0.0487154207504495,0.0444880601897285,0.0168882500898311,0.0443538719731479,29197,1295,0.0953180121245333,0.314107613795938,0.590574374079529,0.0487876490350076,0.0491077927387966,0.0493609619971297,0.0442341616439666,0.0449337603558643,0.0451507145931162,0.016671310496005,0.0171714752900074,0.0173073892364143,0.0442863837044684,0.044769555583648,0.044999847421289
81,16177,8574,2578,3738,46,899,406,0.0555727267107622,0.0473524609283882,0.0178432893716059,0.0494346664715138,27329,1351,0.0943320282483808,0.313732664934685,0.591935306816934,0.0554317879394292,0.0557868459037217,0.0558417094839357,0.0492775133576995,0.0495463669724408,0.050126045044344,0.0187714244247956,0.01902067663902,0.0193683965569383,0.0501053230413936,0.0504004296139184,0.0506557606508811
82,14966,8019,2224,3524,48,928,449,0.062007216357076,0.0559920189549819,0.0215827338129496,0.0565274306795192,25209,1425,0.0882224602324567,0.318100678329168,0.593676861438375,0.0631411007367283,0.0626304898092889,0.0628828890476579,0.0551274259156564,0.0558980078047268,0.0563377105968403,0.0216192949962594,0.0219130377417874,0.0220092444420513,0.0568095820958932,0.0567972967550769,0.0570919901548898
83,13432,7302,2084,3330,53,965,453,0.0718433591423466,0.062037797863599,0.0254318618042227,0.0644666491366465,22818,1471,0.0913314050311158,0.320010518012096,0.588658076956789,0.0693185807517092,0.070231331429963,0.0704406873790917,0.0632890841408244,0.0635687570133532,0.0643416949984075,0.0253483938043071,0.0250940189453466,0.0253180350796663,0.0634769851279438,0.064078244095674,0.0644807351911857
84,13103,6988,1929,3330,56,971,502,0.0741051667557048,0.0718374356038924,0.0290305857957491,0.0694368755676658,22020,1529,0.0876021798365123,0.317347865576748,0.595049954586739,0.0782343128014517,0.0784602408980233,0.0794251594539846,0.0722897609835787,0.0735583201771425,0.0741369388348209,0.0283143680354732,0.0289470485518651,0.0295789209454164,0.071948165063185,0.0725666647228064,0.073383332525301
85,11898,6386,1706,3089,52,1056,530,0.0887544125063036,0.0829940494832446,0.0304806565064478,0.0819409704852426,19990,1638,0.0853426713356678,0.319459729864932,0.5951975987994,0.087827829140909,0.0895839060339674,0.0906043264356721,0.0850961154070243,0.0852837393139671,0.0859600295306993,0.033178383815815,0.0346956953390376,0.0352061413598418,0.0822748439772903,0.0835050887574225,0.0843854833783734
86,12021,6085,1673,3345,62,1120,566,0.100623908160719,0.100456861133936,0.0400239091452481,0.0954466858789625,19779,1748,0.0845846604985085,0.307649527276404,0.607765812225087,0.102689576159542,0.103768832375026,0.104641310753228,0.0984653415512983,0.0990380291009884,0.0992318531458811,0.0425943341658247,0.0419756801886226,0.0423568078721268,0.0962922572317923,0.0970846966548914,0.0977035444578325
87,10446,5393,1433,2899,76,1148,559,0.118690407811603,0.111945114036714,0.0572784368457781,0.111489115331172,17272,1783,0.0829666512274201,0.31223946271422,0.60479388605836,0.120789091824626,0.120571193850691,0.121279621828649,0.113552630344643,0.113373791022688,0.113848575124945,0.0501543225842281,0.0503990480887201,0.0499779745877934,0.112686988755592,0.112520847961183,0.113062406337048
88,8667,4564,1158,2531,57,1148,542,0.143052959501558,0.128255915863278,0.053160621761658,0.13112516505664,14389,1747,0.0804781430259226,0.317186739870735,0.602335117103343,0.138234913567906,0.139498839260231,0.140314253524845,0.128103401172123,0.129133905251157,0.129251614418759,0.0584484875161076,0.0575591954860376,0.0571763203587418,0.128583297896166,0.129581674395068,0.130026626887477
